trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
005ad89f6c83f207,15498,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3074,814.3030303030303
0280a3ab204d6d0f,16578,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3095,851.3939393939394
00524a8d20ee589f,14543,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3179,767.6363636363636
025072d09f18bb3c,13961,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3161,721.1818181818181
0050ecf510efda3d,16742,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3162,885.6060606060606
020327f0a106373c,16727,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3212,879.4242424242424
01727eb6978ebd9d,17187,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3218,892.060606060606
0050ecf510efda3d,16742,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3162,885.6060606060606
020327f0a106373c,16727,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3212,879.4242424242424
01727eb6978ebd9d,17187,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3218,892.060606060606
00524a8d20ee589f,14543,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3179,767.6363636363636
025072d09f18bb3c,13961,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3161,721.1818181818181
01c296d79ac16518,16263,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; compose-post-service; nginx-web-server; user-mention-service; user-timeline-service; unique-id-service; social-graph-service; media-service,text-service,3196,849.969696969697
005ad89f6c83f207,15498,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3074,814.3030303030303
0280a3ab204d6d0f,16578,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3095,851.3939393939394
00c8b916c50a3e97,15189,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3137,815.2424242424242
002fc3b91bdfa612,17967,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3103,934.1515151515151
0111eb3a8725a28b,16679,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; compose-post-service; user-mention-service; user-timeline-service; unique-id-service; social-graph-service; media-service,text-service,3378,897.7878787878788
027d21dac5cc4a8f,15439,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,nginx-web-server,3188,816.2727272727273
00524a8d20ee589f,14543,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3179,767.6363636363636
025072d09f18bb3c,13961,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3161,721.1818181818181
0050ecf510efda3d,16742,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3162,885.6060606060606
020327f0a106373c,16727,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3212,879.4242424242424
01727eb6978ebd9d,17187,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3218,892.060606060606
00c8b916c50a3e97,15189,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3137,815.2424242424242
002fc3b91bdfa612,17967,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3103,934.1515151515151
0111eb3a8725a28b,16679,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; compose-post-service; user-mention-service; user-timeline-service; unique-id-service; social-graph-service; media-service,text-service,3378,897.7878787878788
027d21dac5cc4a8f,15439,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,nginx-web-server,3188,816.2727272727273
01c296d79ac16518,16263,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; compose-post-service; nginx-web-server; user-mention-service; user-timeline-service; unique-id-service; social-graph-service; media-service,text-service,3196,849.969696969697
005ad89f6c83f207,15498,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3074,814.3030303030303
0280a3ab204d6d0f,16578,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3095,851.3939393939394
0050ecf510efda3d,16742,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3162,885.6060606060606
020327f0a106373c,16727,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3212,879.4242424242424
01727eb6978ebd9d,17187,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3218,892.060606060606
00524a8d20ee589f,14543,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3179,767.6363636363636
025072d09f18bb3c,13961,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3161,721.1818181818181
0111eb3a8725a28b,16679,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; compose-post-service; user-mention-service; user-timeline-service; unique-id-service; social-graph-service; media-service,text-service,3378,897.7878787878788
027d21dac5cc4a8f,15439,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,nginx-web-server,3188,816.2727272727273
01c296d79ac16518,16263,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; compose-post-service; nginx-web-server; user-mention-service; user-timeline-service; unique-id-service; social-graph-service; media-service,text-service,3196,849.969696969697
005ad89f6c83f207,15498,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3074,814.3030303030303
0280a3ab204d6d0f,16578,33,False,0.0,,/wrk2-api/post/compose,text-service; url-shorten-service; home-timeline-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3095,851.3939393939394
00c8b916c50a3e97,15189,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3137,815.2424242424242
002fc3b91bdfa612,17967,33,False,0.0,,/wrk2-api/post/compose,text-service; home-timeline-service; url-shorten-service; post-storage-service; user-service; nginx-web-server; user-timeline-service; user-mention-service; compose-post-service; unique-id-service; social-graph-service; media-service,text-service,3103,934.1515151515151
